GAME_ID,TEAM0_TEAM_ABBREVIATION,TEAM0_PTS,TEAM0_REB,TEAM0_AST,TEAM0_FG_PCT,TEAM0_TO,TEAM0_PLUS_MINUS,TEAM0_TEAM_ORDER,TEAM1_TEAM_ABBREVIATION,TEAM1_PTS,TEAM1_REB,TEAM1_AST,TEAM1_FG_PCT,TEAM1_TO,TEAM1_PLUS_MINUS,TEAM1_TEAM_ORDER,TEAM0_WIN,TEAM0_GAME_DATE,TEAM1_GAME_DATE,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO
22300034,NOP,115.0,39.0,33.0,0.523,,,0,DEN,110.0,51.0,37.0,0.49,,,1,1,2023-11-17,2023-11-17,1489.733351,1664.751407,1489.733351,1664.751407,1489.733351,1664.751407,1489.733351,1664.751407,1489.733351,1664.751407
22300035,PHX,131.0,36.0,35.0,0.523,,,0,UTA,128.0,39.0,27.0,0.506,,,1,1,2023-11-17,2023-11-17,,1428.013197,,1428.013197,,1428.013197,,1428.013197,,1428.013197
22300036,LAL,107.0,44.0,27.0,0.494,,,0,POR,95.0,48.0,17.0,0.404,,,1,1,2023-11-17,2023-11-17,1523.354686,1350.313257,1523.354686,1350.313257,1523.354686,1350.313257,1523.354686,1350.313257,1523.354686,1350.313257
22300037,LAC,106.0,47.0,22.0,0.434,,,0,HOU,100.0,47.0,24.0,0.432,,,1,1,2023-11-17,2023-11-17,1494.161454,1443.165575,1494.161454,1443.165575,1494.161454,1443.165575,1494.161454,1443.165575,1494.161454,1443.165575
22300038,ORL,126.0,40.0,31.0,0.5,,,0,TOR,107.0,38.0,29.0,0.507,,,1,1,2023-11-21,2023-11-21,1504.928188,1520.550306,1504.928188,1520.550306,1504.928188,1520.550306,1504.928188,1520.550306,1504.928188,1520.550306
22300039,IND,157.0,29.0,35.0,0.606,,,0,ATL,152.0,39.0,28.0,0.6,,,1,1,2023-11-21,2023-11-21,1466.109891,1532.3662,1466.109891,1532.3662,1466.109891,1532.3662,1466.109891,1532.3662,1466.109891,1532.3662
22300040,CLE,122.0,56.0,33.0,0.489,,,0,PHI,119.0,44.0,19.0,0.417,,,1,1,2023-11-21,2023-11-21,1551.938464,1640.862146,1551.938464,1640.862146,1551.938464,1640.862146,1551.938464,1640.862146,1551.938464,1640.862146
22300041,PHX,120.0,38.0,26.0,0.566,,,0,POR,107.0,30.0,20.0,0.437,,,1,1,2023-11-21,2023-11-21,,1325.520964,,1325.520964,,1325.520964,,1325.520964,,1325.520964
22300042,LAL,131.0,52.0,35.0,0.57,,,0,UTA,99.0,42.0,25.0,0.388,,,1,1,2023-11-21,2023-11-21,1533.80533,1416.846419,1533.80533,1416.846419,1533.80533,1416.846419,1533.80533,1416.846419,1533.80533,1416.846419
22300043,ORL,113.0,48.0,23.0,0.506,,,0,BOS,96.0,31.0,17.0,0.408,,,1,1,2023-11-24,2023-11-24,1524.02355,1681.422863,1524.02355,1681.422863,1524.02355,1681.422863,1524.02355,1681.422863,1524.02355,1681.422863
22300044,PHX,110.0,41.0,22.0,0.513,,,0,MEM,89.0,35.0,22.0,0.463,,,1,1,2023-11-24,2023-11-24,,1464.124271,,1464.124271,,1464.124271,,1464.124271,,1464.124271
22300045,NYK,100.0,46.0,21.0,0.481,,,0,MIA,98.0,41.0,20.0,0.391,,,1,1,2023-11-24,2023-11-24,1591.25378,1624.475151,1591.25378,1624.475151,1591.25378,1624.475151,1591.25378,1624.475151,1591.25378,1624.475151
22300046,TOR,121.0,40.0,32.0,0.53,,,0,CHI,108.0,37.0,20.0,0.512,,,1,1,2023-11-24,2023-11-24,1514.378914,1457.19023,1514.378914,1457.19023,1514.378914,1457.19023,1514.378914,1457.19023,1514.378914,1457.19023
22300047,IND,136.0,40.0,24.0,0.48,,,0,DET,113.0,43.0,22.0,0.478,,,1,1,2023-11-24,2023-11-24,1472.729685,1309.869028,1472.729685,1309.869028,1472.729685,1309.869028,1472.729685,1309.869028,1472.729685,1309.869028
22300048,HOU,105.0,49.0,25.0,0.488,,,0,DEN,86.0,46.0,17.0,0.34,,,1,1,2023-11-24,2023-11-24,1447.502958,1637.756765,1447.502958,1637.756765,1447.502958,1637.756765,1447.502958,1637.756765,1447.502958,1637.756765
22300049,MIL,131.0,50.0,28.0,0.522,,,0,WAS,128.0,46.0,29.0,0.48,,,1,1,2023-11-24,2023-11-24,1576.580028,1383.622611,1576.580028,1383.622611,1576.580028,1383.622611,1576.580028,1383.622611,1576.580028,1383.622611
22300050,SAC,124.0,46.0,25.0,0.49,,,0,MIN,111.0,44.0,25.0,0.439,,,1,1,2023-11-24,2023-11-24,1530.537737,1598.259867,1530.537737,1598.259867,1530.537737,1598.259867,1530.537737,1598.259867,1530.537737,1598.259867
22300051,GSW,118.0,41.0,35.0,0.494,,,0,SAS,112.0,46.0,28.0,0.45,,,1,1,2023-11-24,2023-11-24,1531.116901,1311.962906,1531.116901,1311.962906,1531.116901,1311.962906,1531.116901,1311.962906,1531.116901,1311.962906
22300052,NOP,116.0,50.0,26.0,0.489,,,0,LAC,106.0,39.0,27.0,0.457,,,1,1,2023-11-24,2023-11-24,1521.18365,1518.769209,1521.18365,1518.769209,1521.18365,1518.769209,1521.18365,1518.769209,1521.18365,1518.769209
22300053,BOS,124.0,52.0,36.0,0.522,,,0,CHI,97.0,37.0,25.0,0.433,,,1,1,2023-11-28,2023-11-28,1667.390897,1445.865872,1667.390897,1445.865872,1667.390897,1445.865872,1667.390897,1445.865872,1667.390897,1445.865872
22300054,BKN,115.0,59.0,26.0,0.449,,,0,TOR,103.0,46.0,27.0,0.386,,,1,1,2023-11-28,2023-11-28,,1516.938795,,1516.938795,,1516.938795,,1516.938795,,1516.938795
22300055,CLE,128.0,55.0,27.0,0.538,,,0,ATL,105.0,44.0,21.0,0.347,,,1,1,2023-11-28,2023-11-28,1525.322761,1537.397074,1525.322761,1537.397074,1525.322761,1537.397074,1525.322761,1537.397074,1525.322761,1537.397074
22300056,MIL,131.0,45.0,26.0,0.534,,,0,MIA,124.0,35.0,32.0,0.511,,,1,1,2023-11-28,2023-11-28,1579.483188,1605.741224,1579.483188,1605.741224,1579.483188,1605.741224,1579.483188,1605.741224,1579.483188,1605.741224
22300057,NYK,115.0,54.0,21.0,0.466,,,0,CHA,91.0,41.0,21.0,0.416,,,1,1,2023-11-28,2023-11-28,1586.408083,,1586.408083,,1586.408083,,1586.408083,,1586.408083,
