TEAM_ABBREVIATION_TEAM0,GAME_DATE,ELO_TEAM0,SCORE_TEAM0,IS_HOME_TEAM0,TEAM_ORDER_TEAM0,TEAM_ABBREVIATION_TEAM1,ELO_TEAM1,SCORE_TEAM1,IS_HOME_TEAM1,TEAM_ORDER_TEAM1
MIL,2025-01-02,1556.238422,110,1,0,IND,1530.533171,128,1,1
MIL,2025-01-02,1556.238422,110,1,0,MIA,1558.935299,115,0,1
MIL,2025-01-02,1556.238422,110,1,0,BRK,1386.925411,113,1,1
MIL,2025-01-02,1556.238422,110,1,0,MIL,1556.238422,110,0,1
MIL,2025-01-02,1556.238422,110,1,0,BOS,1672.790553,118,1,1
MIL,2025-01-02,1556.238422,110,1,0,MIN,1581.819671,115,0,1
MIL,2025-01-02,1556.238422,110,1,0,LAC,1546.32065,98,1,1
MIL,2025-01-02,1556.238422,110,1,0,OKC,1726.316442,116,0,1
BRK,2025-01-02,1386.925411,113,0,0,PHI,1482.178788,105,1,1
BRK,2025-01-02,1386.925411,113,0,0,GSW,1529.045115,139,0,1
BRK,2025-01-02,1386.925411,113,0,0,POR,1328.544999,106,1,1
BRK,2025-01-02,1386.925411,113,0,0,LAL,1525.376006,114,0,1
BRK,2025-01-02,1386.925411,113,0,0,IND,1530.533171,128,1,1
